"","time 1","time 2","time 3","time 4","time 5","time 6","time 7","time 8","time 9","time 10","time 11","tim 12","time 13","time 14","time 15","time 12"
"1",0.191450357437134,0.193403244018555,0.228992700576782,0.205249309539795,0.19138503074646,0.190327644348145,0.206689357757568,0.202642679214478,0.189419507980347,0.205044031143188,0.198704719543457,NA,0.188392639160156,0.199745655059814,0.213865995407104,0.198675155639648
"2",0.203234672546387,0.210459232330322,0.206963300704956,0.190473556518555,0.206091403961182,0.205094814300537,0.193451881408691,0.202378749847412,0.19161581993103,0.188832521438599,0.218956232070923,NA,0.206372737884521,0.216568470001221,0.199490547180176,0.217734813690186
"3",0.225152015686035,0.192599058151245,0.224631071090698,0.205312252044678,0.189124584197998,0.188399076461792,0.18911075592041,0.188779354095459,0.207776784896851,0.202014446258545,0.198515176773071,NA,0.189265489578247,0.215311288833618,0.198025226593018,0.215199947357178
"4",0.191521167755127,0.211732625961304,0.213567495346069,0.205358028411865,0.189963579177856,0.206122398376465,0.209755182266235,0.204000473022461,0.188976287841797,0.203060626983643,0.215957403182983,NA,0.206468343734741,0.198318958282471,0.211638450622559,0.218562364578247
"5",0.205227851867676,0.194466352462769,0.212789058685303,0.19012713432312,0.2090904712677,0.190593242645264,0.191391944885254,0.190487623214722,0.210286378860474,0.1883704662323,0.198094129562378,NA,0.189806461334229,0.214879512786865,0.198912382125854,0.219772338867188
"6",0.192155122756958,0.209801912307739,0.224696397781372,0.207215547561646,0.189999103546143,0.205345392227173,0.208987236022949,0.202872037887573,0.189565896987915,0.203151226043701,0.214365720748901,NA,0.203283548355103,0.215988159179688,0.216511249542236,0.212589979171753
"7",0.188413858413696,0.193580865859985,0.202970027923584,0.189459085464478,0.204188823699951,0.203756809234619,0.190287113189697,0.203590154647827,0.20561408996582,0.203507900238037,0.198404788970947,NA,0.190620422363281,0.213813304901123,0.198544979095459,0.216052532196045
"8",0.205071210861206,0.209029197692871,0.219372749328613,0.204456090927124,0.1884925365448,0.189537763595581,0.200442790985107,0.190799474716187,0.189921855926514,0.187037944793701,0.19805908203125,NA,0.207179307937622,0.201369524002075,0.214980602264404,0.216931343078613
"9",0.188959121704102,0.213989734649658,0.203504323959351,0.203319072723389,0.204099178314209,0.206305027008057,0.191072940826416,0.204771995544434,0.187883377075195,0.202896595001221,0.21345853805542,NA,0.188190221786499,0.216526031494141,0.196516513824463,0.21477484703064
"10",0.202479362487793,0.193689584732056,0.217813730239868,0.188926219940186,0.188430547714233,0.189903497695923,0.21351146697998,0.204591035842896,0.208691596984863,0.199454784393311,0.197421312332153,NA,0.205106735229492,0.22124457359314,0.211679458618164,0.193117618560791
